KODJAZ;AKRCIS;KODCIS;UROVEN;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;NADVAZ
"CS";"CZ-NACE_KL";80004;5;"02200";"Tìba døeva";"Tìba døeva";"01.01.2008";"09.09.9999";"0220"
"CS";"CZ-NACE_KL";80004;3;"023";"Sbìr, získávání volnì rostouc. plodù, materiálù, kromì døeva";"Sbìr a získávání volnì rostoucích plodù a materiálù, kromì døeva";"01.01.2008";"09.09.9999";"02"
"CS";"CZ-NACE_KL";80004;4;"0230";"Sbìr, získávání volnì rostouc. plodù, materiálù, kromì døeva";"Sbìr a získávání volnì rostoucích plodù a materiálù, kromì døeva";"01.01.2008";"09.09.9999";"023"
"CS";"CZ-NACE_KL";80004;5;"02300";"Sbìr, získávání volnì rostouc. plodù, materiálù, kromì døeva";"Sbìr a získávání volnì rostoucích plodù a materiálù, kromì døeva";"01.01.2008";"09.09.9999";"0230"
"CS";"CZ-NACE_KL";80004;3;"024";"Podpùrné èinnosti pro lesnictví";"Podpùrné èinnosti pro lesnictví";"01.01.2008";"09.09.9999";"02"
"CS";"CZ-NACE_KL";80004;4;"0240";"Podpùrné èinnosti pro lesnictví";"Podpùrné èinnosti pro lesnictví";"01.01.2008";"09.09.9999";"024"
"CS";"CZ-NACE_KL";80004;5;"02400";"Podpùrné èinnosti pro lesnictví";"Podpùrné èinnosti pro lesnictví";"01.01.2008";"09.09.9999";"0240"
"CS";"CZ-NACE_KL";80004;2;"03";"Rybolov a akvakultura";"Rybolov a akvakultura";"01.01.2008";"09.09.9999";"A"
"CS";"CZ-NACE_KL";80004;3;"031";"Rybolov";"Rybolov";"01.01.2008";"09.09.9999";"03"
"CS";"CZ-NACE_KL";80004;4;"0311";"Moøskı rybolov";"Moøskı rybolov";"01.01.2008";"09.09.9999";"031"
"CS";"CZ-NACE_KL";80004;5;"03110";"Moøskı rybolov";"Moøskı rybolov";"01.01.2008";"09.09.9999";"0311"
"CS";"CZ-NACE_KL";80004;4;"0312";"Sladkovodní rybolov";"Sladkovodní rybolov";"01.01.2008";"09.09.9999";"031"
"CS";"CZ-NACE_KL";80004;5;"03120";"Sladkovodní rybolov";"Sladkovodní rybolov";"01.01.2008";"09.09.9999";"0312"
"CS";"CZ-NACE_KL";80004;3;"032";"Akvakultura";"Akvakultura";"01.01.2008";"09.09.9999";"03"
"CS";"CZ-NACE_KL";80004;4;"0321";"Moøská akvakultura";"Moøská akvakultura";"01.01.2008";"09.09.9999";"032"
"CS";"CZ-NACE_KL";80004;5;"03210";"Moøská akvakultura";"Moøská akvakultura";"01.01.2008";"09.09.9999";"0321"
