KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;EGRFORMA
"CS";"FORMA";56;"731";"Org.jednotka sdruení";"Organizaèní jednotka sdruení";"01.01.1900";"09.09.9999";"NB"
"CS";"FORMA";56;"732";"Org.jedn.pol.strany,hn.";"Organizaèní jednotka politické strany, politického hnutí";"01.01.1900";"09.09.9999";
"CS";"FORMA";56;"733";"Org.jedn.odborové org. a org.zamìstnavatelù";"Organizaèní jednotka odborové organizace a organizace zamìstnavatelù";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"734";"Org.jedn.zvl.org.pro zast.èes.záj.v mez.nevl.org.";"Organizaèní jednotka zvláštní organizace pro zastoupení èeskıch zájmù v mezinárodních nevládních organizacích";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"736";"Poboènı spolek";"Poboènı spolek";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"741";"Stav.org.-profesní kom.";"Stavovská organizace - profesní komora";"01.01.1900";"09.09.9999";"NB"
"CS";"FORMA";56;"745";"Komora s vıj.prof.komor";"Komora (s vıjimkou profesních komor)";"01.01.1992";"09.09.9999";"NB"
"CS";"FORMA";56;"751";"Zájm.sdruení práv.osob";"Zájmové sdruení právnickıch osob";"01.01.1992";"09.09.9999";"NB"
"CS";"FORMA";56;"761";"Honební spoleèenstvo";"Honební spoleèenstvo";"01.07.2002";"09.09.9999";"NB"
"CS";"FORMA";56;"771";"Svazek obcí";"Svazek obcí";"01.01.2001";"09.09.9999";"NB"
"CS";"FORMA";56;"801";"Obec nebo mìstská èást hlavního mìsta Prahy";"Obec nebo mìstská èást hlavního mìsta Prahy";"01.01.1900";"09.09.9999";"GO"
"CS";"FORMA";56;"804";"Kraj a hl.m.Praha";"Kraj a hl.m.Praha";"01.11.2000";"09.09.9999";"GO"
"CS";"FORMA";56;"805";"Reg.rada regionu soudr.";"Regionální rada regionu soudrnosti";"01.07.2006";"09.09.9999";"GO"
"CS";"FORMA";56;"901";"Zast.orgán jinıch státù";"Zastupitelskı orgán jinıch státù";"01.01.1900";"09.09.9999";
"CS";"FORMA";56;"906";"Zahranièní spolek";"Zahranièní spolek";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"907";"Mezinárodní odborová organizace";"Mezinárodní odborová organizace";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"908";"Mezinárodní organizace zamìstnavetelù";"Mezinárodní organizace zamìstnavatelù";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"911";"Zahr.kult.støed.,agent.";"Zahranièní kulturní, informaèní støedisko, rozhlasová, tisková a televizní agentura";"01.01.1900";"09.09.9999";"ND"
"CS";"FORMA";56;"921";"Mezinár.nevlád.org.";"Mezinárodní nevládní organizace";"01.01.1900";"09.09.9999";"ND"
"CS";"FORMA";56;"922";"Org.jed.mezinár.nevládní org.";"Organizaèní jednotka mezinárodní nevládní organizace";"01.07.2010";"09.09.9999";"ND"
"CS";"FORMA";56;"931";"Ev.hosp.zájm.sdruení";"Evropské hospodáøské zájmové sdruení";"15.06.2004";"09.09.9999";"NB"
"CS";"FORMA";56;"932";"Evropská spoleènost";"Evropská spoleènost";"14.12.2004";"09.09.9999";"LL"
"CS";"FORMA";56;"933";"Evr.drust.spoleènost";"Evropská drustevní spoleènost";"18.08.2006";"09.09.9999";"LL"
"CS";"FORMA";56;"936";"Zahranièní poboènı spolek";"Zahranièní poboènı spolek";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"937";"Poboèná mezinárodní odborová organizace";"Poboèná mezinárodní odborová organizace";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"938";"Poboè. mezinár. org. zamìstnavatelù";"Poboèná mezinárodní organizace zamìstnavatelù";"01.01.2014";"09.09.9999";
"CS";"FORMA";56;"941";"Evr.seskupení úz.spolupr.";"Evropské seskupení pro územní spolupráci";"01.01.2008";"09.09.9999";"ND"
"CS";"FORMA";56;"950";"Subjekt práv.øád.neupravenı";"Subjekt právním øádem vıslovnì neupravenı";"01.07.2007";"09.09.9999";"ND"
"CS";"FORMA";56;"960";"Právnická osoba zøíz.zvl.zák.zap.do VR";"Právnická osoba zøízená zvláštním zákonem zapisovaná do veøejného rejstøíku";"01.06.2016";"09.09.9999";

